Gene,AUROC,Spearman,MSE,MAE
ANO9,0.8520182543645519,0.6507019872862058,0.5379183424843682,0.57750165
ANP32B,0.8123001902371273,0.5770508579415604,0.5919997990131378,0.6048578
ANTXR1,0.6513697783872467,0.3006402213383236,0.9206117888291677,0.77216744
ANXA13,0.7728550956483181,0.40289669453598287,0.22980067630608877,0.31471792
ANXA2,0.8352986964827347,0.6441009926033191,1.0389349857966106,0.8155485
ANXA3,0.8291068447211299,0.6138332888532607,0.523623138666153,0.5605671
ANXA4,0.8725952310830757,0.6942119402921364,0.762622680928972,0.70313007
ANXA6,0.6669199751998924,0.3333545814119215,0.650653514597151,0.65964675
AOC1,0.7969475076771622,0.5054509764642849,0.5839276843600802,0.58801645
AP1M2,0.8152608554237203,0.49363440453932,0.22471994823879665,0.3141948
AP1S1,0.8479496865363494,0.6462314466876875,0.523762454589208,0.5607996
APOBR,0.726100519619148,0.41655494683539257,0.4107167356544071,0.50749624
APOD,0.5379855116769762,0.0716636847902367,0.7348510258727603,0.6507742
APOE,0.6707978481856863,0.33416860655512987,1.6106317904260423,1.0213737
AQP1,0.5952217577482459,0.1898529245977195,0.6932990617222257,0.67832917
AREG,0.7273687350503608,0.42242196408513,0.4863709360361099,0.513606
ARHGAP8,0.8598485601506006,0.647686390120013,0.4161001510090298,0.49728885
ARHGEF16,0.8606723626116228,0.648710471013383,0.39359527329603833,0.4554532
ARHGEF25,0.6634159241461064,0.2893405622333235,0.335253254406982,0.45495728
ARHGEF38,0.8343569224555463,0.5762843751444552,0.3107953949107064,0.40149575
ARSE,0.8367106826947195,0.5666497067881493,0.3373504595624076,0.4015481
ASCL2,0.7703924997105259,0.471167858499069,0.8109793000751071,0.68714285
ASF1B,0.8207783384579028,0.5653534791690034,0.4911971439917882,0.5281474
ASPN,0.6207211847146442,0.22330140677217766,0.7563176817364163,0.6786508
ASS1,0.8494653104348016,0.6492869769600146,1.159752948416604,0.84042764
ATF3,0.6644614052138083,0.3062291969742666,0.7024010552300347,0.65543455
ATIC,0.8418846767938301,0.6389921561133232,0.4891081551710765,0.5598905
ATP10B,0.8217083533699173,0.5563162306998168,0.5035921202765571,0.5205073
ATP1A1,0.8673457318554887,0.6790080937801296,0.8276592956648933,0.71560174
ATP1B1,0.8814348988154518,0.6959845468896975,1.6135652992460463,0.9952466
ATP2C2,0.8701291373749115,0.6703813576980654,0.597786491115888,0.57928586
ATP5F1B,0.8369153999042115,0.6396787832407449,0.8447370164924197,0.73183215
ATP5MC3,0.8226349427017717,0.5959634741743638,0.5582766367329491,0.5900227
ATP8B1,0.8505766436316424,0.6698940213649875,0.6193000674247742,0.62773454
AURKB,0.8008163512609541,0.5176324116358901,0.3891143004099528,0.41932923
AZGP1,0.7892886390381365,0.4966185021722893,0.6937325861718919,0.61828464
B2M,0.7623017258556588,0.516901528009146,1.6159524983829923,1.038177
B3GALT5,0.7302903857839623,0.36385934707255824,0.37116629713111454,0.42399165
B3GNT3,0.8620697609923628,0.6494986295093373,0.6877759546041489,0.6309574
BAG2,0.6587866041110879,0.29987974812704127,0.5688928912083308,0.5921037
BAIAP2L1,0.8768902614789016,0.7053687381002549,0.5829216208722856,0.61783296
BAIAP2L2,0.8467323895800711,0.6104847873268334,0.5110360069407357,0.5144094
BCL10,0.8422944790606626,0.6453723894392773,0.55907474954923,0.5952407
BCL11A,0.7552569114420405,0.4656918629921094,0.48683143986596,0.5276882
BDH1,0.8457094700574106,0.621001364807671,0.38987308575047386,0.46534336
BGN,0.6807648371486122,0.3642833703225772,1.5986414750417073,1.0317689
BHLHE40,0.7774465376552444,0.5317781922200493,0.7998979753918118,0.7233209
BICDL2,0.8253394633563423,0.5803303140541332,0.35631688601440853,0.46531737
BMP4,0.7961365367550269,0.5512785158268217,0.4901234060525894,0.5100481
BOC,0.631077116284438,0.2463893413162413,0.43432890706592137,0.528496
BRI3BP,0.8445134504032058,0.6418467318630684,0.5515175892247094,0.56713974
BSPRY,0.8322982989083086,0.5745663522655329,0.4327485462029775,0.49490684
BTG2,0.6509298469239959,0.30859697371346595,0.6178469591670566,0.6342036
BUB1,0.7929120022399735,0.48973715104099697,0.3435781275232633,0.38326147
BZW2,0.8273953737508741,0.6177983816656739,0.4994008044401805,0.5600013
C11orf96,0.6146076808279756,0.22367524473397,0.7407445543342166,0.6953584
C12orf75,0.8343831457172463,0.6233409634487501,0.8850247197681003,0.74360234
C15orf48,0.7040542755287245,0.3565190996773392,1.1742124888632033,0.8023578
C19orf33,0.8558947501368059,0.6641621606494011,0.9755109548568726,0.76527643
C19orf48,0.8185413468016689,0.5822474941831451,0.5041789677408006,0.5456414
C1QA,0.6314220731174387,0.2475221374784737,1.091205358505249,0.8357761
C1QB,0.6316195302068226,0.25043356853403537,1.07461612423261,0.82900834
C1QBP,0.8287444166002517,0.5950783375162847,0.6014881696965959,0.6044747
C1QC,0.6361320864030812,0.262384983257555,1.2060249977641635,0.8730092
C1R,0.6558738410355773,0.3187929287320971,0.8849301868014865,0.76581675
C1S,0.6497529381727394,0.3055404234611576,0.9082399408022562,0.7681026
C3,0.640828426707204,0.27426237156289174,1.2262252304289076,0.8854047
C3orf52,0.8337572613276162,0.5838425795211246,0.4313010589943992,0.48815024
C6orf132,0.8332891406532024,0.5911011442189431,0.3014551219013002,0.4231107
C7,0.6593761139058404,0.2535547143381948,0.3079211397303475,0.34391683
CA12,0.7931607739045585,0.5323734865844544,0.9972520503732893,0.7508635
CA2,0.734203045748855,0.40956318233900624,0.9461495826641718,0.6860692
CA9,0.7827286220955647,0.4341891586529322,0.8454563369353613,0.55782676
CACNA1H,0.6079727463248942,0.19670948482956885,0.5842354231410556,0.5987482
CALB2,0.5979992751868739,0.1420062019897285,0.27667511875430745,0.27620327
CALD1,0.6657488928484703,0.3395283497869126,1.3323221537801955,0.9411125
CALML4,0.8398307268086707,0.6301373543204131,0.4325745801130931,0.5001762
CAMK2N1,0.8653227340082457,0.684949798380122,0.8315282728936937,0.7159101
CANT1,0.8633202978868656,0.6776751204260623,0.6501278347439237,0.6559336
CAPG,0.7871337365367206,0.5514189352796347,0.6492028832435608,0.6507123
CAPN5,0.8160395314879805,0.5967726451807819,0.5068148838149177,0.54882026
CAPN8,0.8250395505233159,0.5610779394454136,0.30816371407773757,0.3944656
CAV1,0.620443974281136,0.2352674839494052,0.5116772055625916,0.58053595
CAVIN1,0.6218943483443584,0.24723663748527652,0.5691412919097476,0.6176477
CBLC,0.829090094579934,0.5495486410451297,0.2347515126069387,0.34217536
CCDC80,0.6347349916098401,0.26363263530082104,0.6589855915970273,0.65667045
CCL15,0.8243574519328752,0.5385863008622809,0.3655058981643783,0.40356943
CCL18,0.6070620022850006,0.18424751994443878,0.35515660378668046,0.3618819
CCL19,0.5713295185675948,0.08569942722159447,0.21239316960175833,0.24226533
CCL20,0.7414070134127212,0.37773714637992584,0.5786072239279747,0.5141199
CCL21,0.5794869635178829,0.12710449177111408,0.3332290252049764,0.3272319
CCL28,0.7600261526416203,0.4303774725194119,0.2994954221778446,0.36954015
CCN1,0.5927615204111214,0.1935726118991579,1.3453419672118292,0.95042866
CCN2,0.6085202479477076,0.22180662994488612,1.1100906597243414,0.84197897
CCNA2,0.8033911521312779,0.5251345439146609,0.4187353567944633,0.43619457
CCNB1,0.812688324291591,0.5651408031296739,0.5954143785768085,0.55158734
CCND1,0.8359906229817758,0.640046089471294,0.7762050330638885,0.7077598
CCND2,0.7825665164878194,0.5376710431927135,0.8269495831595527,0.7424601
CCT2,0.8163535251315814,0.5766200088090447,0.39213849272992873,0.48167795
CCT6A,0.8488647698833843,0.6503057698067943,0.7375335825814141,0.68782914
CD163,0.638084506765969,0.2598558938214248,0.6627411743005117,0.6536014
CD24,0.8859602632815157,0.7115278766259113,1.4874085187911987,1.0124986
CD248,0.5900067660743117,0.16900482892247165,0.47844769226180184,0.545554
