Gene,AUROC,Spearman,MSE,MAE
COL14A1,0.6173046105541079,0.2331216564701998,0.7445537447929382,0.69669557
COL15A1,0.6830061440712438,0.35330961398727834,0.6050371341407299,0.6143381
COL16A1,0.68596782930911,0.3577927966345864,0.5487655885517597,0.5963974
COL17A1,0.7874801500842026,0.49289151305172096,0.40383291989564896,0.46408737
COL18A1,0.6852005317178027,0.3714526883991745,0.6269458681344986,0.63939667
COL1A1,0.7485478295687831,0.4966714829841699,1.6637077778577805,1.0025125
COL1A2,0.7504958750107491,0.5023136910418261,1.391460083425045,0.92333126
COL3A1,0.7553808805348398,0.506176029866432,1.325040578842163,0.8946749
COL4A1,0.6994285669952177,0.40149004160326146,0.8995077386498451,0.7519981
COL4A2,0.7010670378721415,0.4168017544192981,0.7673073410987854,0.6899419
COL5A1,0.7415204903739858,0.4713303682889946,0.9271787628531456,0.7599897
COL5A2,0.7494733401815076,0.4885195076212371,0.78906674310565,0.7000957
COL6A1,0.6852715063996373,0.3925438056833072,0.9124794527888298,0.74656916
COL6A2,0.7310312943140317,0.4776156002510734,0.8987331837415695,0.7448223
COL6A3,0.7443521716931073,0.49658480066305266,0.9257447943091393,0.75340813
COL8A1,0.6918786151079974,0.36529857870578125,0.5166670735925436,0.5662094
COMP,0.687863118544376,0.3686908820287461,1.2588134855031967,0.85395116
CORO2A,0.8301977706417667,0.5850238425712996,0.3005043547600508,0.39891547
COX6A1,0.8641329456736345,0.689679409945819,0.5288871601223946,0.5790174
CPE,0.5535621396785351,0.10370382117266297,0.5580243766307831,0.6140889
CRABP1,0.5081563828727028,-0.00335892966231382,0.04799442063085735,0.10568214
CRACR2B,0.8656882192543949,0.6662592583991367,0.38108376413583755,0.466173
CRB3,0.8510315592065328,0.620067236724048,0.28108824975788593,0.38301232
CREB3L1,0.7665529232099416,0.49668534225981986,0.7176006101071835,0.659627
CRIP1,0.7903354231828309,0.5532458670187298,0.9660487174987793,0.78639734
CRISPLD2,0.6680259240582184,0.33628838625443186,0.5431480333209038,0.60069406
CRYAB,0.6912577943894962,0.3753834446232036,0.5065266154706478,0.5674815
CRYBG1,0.8619427743192682,0.679572863615449,0.37915537878870964,0.4889007
CSE1L,0.8205850024122172,0.5954377986653564,0.28720178827643394,0.41329014
CSRP1,0.7828497425834108,0.5683241904296156,0.7267119586467743,0.67525357
CSTB,0.8282332267567052,0.612636915429182,0.5740301609039307,0.592475
CTHRC1,0.7533176304740696,0.4941128770815657,0.8335961699485779,0.7186322
CTSB,0.764382405811429,0.5181786516778686,1.0732037648558617,0.8367013
CTSD,0.7765464428360092,0.5300597303746195,0.8789642676711082,0.7443931
CTSE,0.6813070689156543,0.29207879411057036,0.5923614781349897,0.52112544
CTSH,0.7920060016789952,0.5489849317250278,0.7068857736885548,0.6686243
