Gene,AUROC,Spearman,MSE,MAE
CCN2,0.6386005067743883,0.2806068146699501,0.9769823286268446,0.78898525
CCNA2,0.8169204048205657,0.5432483808116375,0.36000488532914054,0.43312037
CCNB1,0.8359873855809686,0.5980991536548506,0.4953179955482483,0.52066594
CCND1,0.8457895470812219,0.6587203657508081,0.7326827810870277,0.6844752
CCND2,0.801537765405837,0.5700030851644061,0.8035400973425971,0.72157687
CCT2,0.8308708236077831,0.5951048908028492,0.42290795346101123,0.5036054
CCT6A,0.8612943485539917,0.6731092930734189,0.638057185543908,0.6389439
CD163,0.6145472545472266,0.21612375707334466,0.69725211792522,0.67739564
CD24,0.8993853594991548,0.7357028269709898,1.16242425971561,0.86477345
CD248,0.6081169864026769,0.1989987307352383,0.4459663662645552,0.5410064
CD2AP,0.8956634621970961,0.7351894830048533,0.5014904836813608,0.56537235
CD44,0.8342759237331422,0.6369416611252354,1.4139268000920613,0.91854644
CD68,0.7063937453482252,0.4026413710737856,0.9163097110059526,0.7737333
CD74,0.7300125867992904,0.4520265941978729,1.6587236324946086,1.0288657
CD79A,0.6729331895875035,0.2467923220485512,0.2124744885497623,0.28705603
CD9,0.8852194414023804,0.7320966319820398,0.8551609185006883,0.7275603
CDC20,0.8237584766318881,0.5290601009329507,0.3021575270427598,0.37453133
CDC42EP5,0.8240166857712555,0.6012379914339272,0.5223819514115652,0.5762477
CDC6,0.8130591786011928,0.5019257063754871,0.2353972192439768,0.32647187
CDCA7,0.8174116732837808,0.5237971146409376,0.2839951887726784,0.3713242
CDCP1,0.8374646057817693,0.6059988092818999,0.3765789435969459,0.4582644
CDH1,0.871773537582466,0.6804903716711171,0.6122483180628883,0.6061981
CDH11,0.6594206901452027,0.3064232002177761,0.7874440484576755,0.72519165
CDH17,0.844688914468411,0.6253050198637746,0.8549205197228326,0.7011452
CDH3,0.836911318789484,0.5678779768477595,0.3575681183073256,0.43931592
CDHR5,0.7759502360799418,0.4551076813803428,0.510455330212911,0.4913612
CDK1,0.8363192157226825,0.5810365246693979,0.42500003841188216,0.4766296
CDKN2B,0.6421281082303393,0.24130414708715112,0.2869662642478943,0.43751037
CDKN3,0.8004540718307812,0.48549624210819786,0.21627207845449448,0.31727117
CDT1,0.8210807619526176,0.5321190886444245,0.30579953889052075,0.38203448
CDX1,0.8087536938813152,0.5248802889107065,0.5715981821219126,0.5583738
CDX2,0.8456078139815741,0.6077258957342062,0.5958985620074801,0.5894818
CEACAM1,0.7626870867804726,0.45028797652203195,0.6063356084956063,0.5277749
CEACAM5,0.8472571829109034,0.6513597708683113,2.1010806957880654,1.1468773
CEACAM6,0.8376344957195783,0.6502489592815331,1.8244909975263808,1.0547585
CEACAM7,0.6748559603323563,0.23977371854161367,0.3796580458680789,0.37577528
CEBPB,0.7129080748156205,0.4184474366449159,0.5785629120137956,0.6110444
CEBPD,0.6552521832099042,0.3198507786836926,0.5317965712812212,0.5768145
CEMIP,0.7657003382361448,0.4581677486890983,0.6504619121551514,0.60707045
CENPE,0.7820371935191612,0.455304762432204,0.2583087761369016,0.337775
CENPM,0.8214578117241333,0.5612761799708709,0.3792319662041134,0.4522846
CENPU,0.818392572110455,0.5222765662006371,0.320780115822951,0.3895346
CERCAM,0.6654809343210049,0.32824696888557464,0.5368614163663652,0.5993991
CERS6,0.8502930098197297,0.6570340674691277,0.40451959768931073,0.5065743
CFB,0.7806099620181041,0.5216579146379291,0.6913153429826101,0.6589336
CFTR,0.7824981678727176,0.4701260507387875,0.659487729271253,0.59845513
CGN,0.8710574618900182,0.6808134230176726,0.353686081038581,0.44842142
