Gene,AUROC,Spearman,MSE,MAE
ASPN,0.6710118431404628,0.31727208197154516,0.5184010085132387,0.5722862
ASS1,0.871205278934597,0.6878484804553469,0.9466026822725931,0.7510515
ATF3,0.678691143433952,0.3348932570477674,0.5593900548087226,0.5972435
ATIC,0.8530373164524176,0.6582457217853714,0.43534881869951886,0.5225489
ATP10B,0.8260193809901796,0.560484531672757,0.5381546252303653,0.5175602
ATP1A1,0.8840460384518001,0.7101805653583261,0.7454603148831261,0.67599016
ATP1B1,0.9016729379658468,0.7393917601299943,1.080983476506339,0.8106737
ATP2C2,0.8806045591436502,0.69281679007266,0.5014259980784522,0.52680135
ATP5F1B,0.8552406073827008,0.6741003650279169,0.7900679972436693,0.7052505
ATP5MC3,0.8438258982368388,0.6303972462497318,0.510048035118315,0.55933976
ATP8B1,0.8722508146512251,0.7114463577612035,0.4564389917585585,0.53999
AURKB,0.826072222607373,0.5462282391971547,0.28421192202303147,0.3744744
AZGP1,0.7820476143296957,0.48300822845597324,0.7699170824554231,0.6185418
B2M,0.8028216408665814,0.5863699152204663,1.4474551677703857,0.96674794
B3GALT5,0.7480497969422601,0.3901782684923132,0.3624347597360611,0.42029992
B3GNT3,0.8848818317553296,0.6890777442937933,0.5506379504998525,0.5364983
BAG2,0.740595570072184,0.44619706155310596,0.4517953213718202,0.5251374
BAIAP2L1,0.8957102640275747,0.7420750692231501,0.4818677107493083,0.53647244
BAIAP2L2,0.8597952979517315,0.6346556902356703,0.383340737885899,0.44586748
BCL10,0.8604103152010136,0.6773099160096627,0.42960142095883685,0.51775163
BCL11A,0.7405131375568762,0.43271331328464196,0.5430707484483719,0.56044805
BDH1,0.8618892141282173,0.6491502122577535,0.33743467926979065,0.43190166
BGN,0.7716000514532586,0.5462448911264144,0.8760409818755256,0.7441136
BHLHE40,0.7972596229514919,0.5665160829632385,0.6865550180276235,0.66667163
BICDL2,0.8491955061795351,0.6256258935995019,0.3003503614001804,0.4090653
BMP4,0.8062531260758095,0.5657549586598924,0.4811781148115794,0.5098398
BOC,0.7051691523811578,0.3779035807945686,0.2951096263196733,0.44232333
BRI3BP,0.8604644330503777,0.6691356097879962,0.4061119357744853,0.4877954
BSPRY,0.8475546051396733,0.5967874909004637,0.3663780606455273,0.43041718
BTG2,0.688032607361187,0.37897690775802495,0.5951380762788985,0.6163256
BUB1,0.8171712977664609,0.5175435863957587,0.27242690241999096,0.3557727
BZW2,0.8442282897329352,0.6451152939817414,0.39639708068635726,0.4870188
C11orf96,0.7000246865241748,0.38502686619178034,0.6598333683278825,0.6502182
C12orf75,0.864803427388798,0.6750343953332298,0.6915742059548696,0.65975165
C15orf48,0.7243866631431516,0.3874155294703992,1.189465539322959,0.8063516
C19orf33,0.8823261902466962,0.7164043056088358,0.6332613494661119,0.6104185
C19orf48,0.8422608051495176,0.6167315650549771,0.34227161440584397,0.4396206
C1QA,0.6592139597726194,0.30752234790399485,1.3432298103968303,0.91770935
C1QB,0.6598057294484599,0.30645156244008565,1.2316541936662462,0.87227243
C1QBP,0.8468683481489742,0.6234483210608264,0.5044329365094503,0.53718024
C1QC,0.6708438504950223,0.3382566711732219,1.2785278856754303,0.89871764
C1R,0.7146778417885717,0.43723810683134745,0.7657077246242099,0.7023008
C1S,0.7363179667139981,0.47592618828111327,0.6959929731157091,0.6707458
C3,0.6976484528165838,0.3826122542297406,1.204061832692888,0.87128973
C3orf52,0.8491395267522726,0.6119281031858506,0.33476455675231087,0.4216572
C6orf132,0.8494373307549161,0.617098027438579,0.25675202409426373,0.37746415
C7,0.7013839189236053,0.32115487365539175,0.2865515078107516,0.36499465
CA12,0.8171100907409713,0.5775241077358638,0.7880434559451209,0.669567
CA2,0.7666178753170529,0.4681415496717532,0.774814698431227,0.64119834
CA9,0.7859998464406117,0.43247295318974427,0.6559009850025177,0.5341416
CACNA1H,0.7321567656139749,0.4202389315736228,0.4503507680363125,0.51134133
CALB2,0.6306072340124241,0.18646482717018134,0.2500048163864348,0.3017361
CALD1,0.7806238014002742,0.567222780035186,0.777387539545695,0.70598507
CALML4,0.8533187042939041,0.6553380186310259,0.4012673083278868,0.47585166
CAMK2N1,0.8887780108684551,0.730726810393999,0.6449129482110342,0.6419785
CANT1,0.8823437930532414,0.7164449108353508,0.4650391803847419,0.5412767
CAPG,0.8175620420893217,0.6061907952758935,0.5819444954395294,0.6093679
CAPN5,0.8363380462409579,0.6370207491395394,0.44109565681881374,0.5048837
CAPN8,0.8454903689847416,0.5955128691169599,0.26890454358524746,0.37144822
CAV1,0.6647704907618498,0.31994777003978375,0.4257080786757999,0.5255651
CAVIN1,0.7036110951755331,0.4069415211825087,0.4145540992418925,0.5185283
CBLC,0.850151267816402,0.5834682348885342,0.20489206578996447,0.31584713
CCDC80,0.713618587419755,0.41512998987248256,0.5304975178506639,0.5826603
CCL15,0.8358356459408779,0.555559440116834,0.3858192529943254,0.42817926
CCL18,0.6216896024021223,0.20937860752190993,0.34031737678580815,0.41667584
CCL19,0.6214555814072423,0.16268659966469592,0.19399945686260858,0.26689756
CCL20,0.7575257388925137,0.402287244444819,0.4765033854378594,0.48080143
CCL21,0.6051167448038771,0.16048038595047784,0.31009344425466323,0.383511
CCL28,0.7864049639197277,0.4759562975435083,0.29734039554993313,0.38733742
CCN1,0.6691439397146263,0.34756911575616384,1.0726797183354695,0.84016
CCN2,0.6873476836324488,0.37897989708709284,0.8919228514035543,0.7608454
CCNA2,0.8203961700496201,0.5482486999278507,0.28554115030500626,0.3815749
CCNB1,0.8354234609052759,0.5959984670073197,0.3890366620487637,0.45328033
CCND1,0.8529326575500557,0.6742174319793379,0.6068834695551131,0.62333333
CCND2,0.8047582256519312,0.578116882457739,0.7340724435117509,0.6800775
CCT2,0.8350770227622398,0.602433057846903,0.3807583020793067,0.46317154
CCT6A,0.8690136629998452,0.6860597898817996,0.5290325880050659,0.5795018
CD163,0.6523373241693906,0.2927544905121875,0.6426707241270277,0.65149546
CD24,0.9077816546859121,0.7506819029884482,1.0763114425871108,0.8218712
CD248,0.6505282034099505,0.2716131509037115,0.3860808528131909,0.49178484
CD2AP,0.9048161439770733,0.7516123499932333,0.4872761865456899,0.5588872
CD44,0.8425729154553381,0.6482771334403804,1.0515313016043768,0.79657245
CD68,0.7316369583830576,0.44501938601955715,0.8798689146836599,0.74885774
CD74,0.7714318986924454,0.5403280042848281,1.4030699398782518,0.9445664
CD79A,0.6898749197617043,0.26636882333954415,0.20485586921374002,0.30523926
CD9,0.8930905480257838,0.7497936924851636,0.695064922173818,0.65591055
CDC20,0.8310227219061571,0.5351673226738913,0.2637256607413292,0.34623307
CDC42EP5,0.84276776749036,0.6403711627451221,0.4652112027009328,0.54113925
CDC6,0.8178148546410047,0.5047592150098397,0.2210809157954322,0.31727922
CDCA7,0.824896377534709,0.534452472094136,0.2486189463072353,0.344001
CDCP1,0.8485019486069575,0.6229231480149136,0.33912987344794804,0.42549074
CDH1,0.8843588881644924,0.7038407316190394,0.5819825496938493,0.575758
CDH11,0.7264542479510795,0.42850382624386096,0.5294179717699686,0.5855598
CDH17,0.8623521947540025,0.6618349908842815,0.9289040002557967,0.72499275
CDH3,0.8503440683157345,0.5857389583670671,0.33805469589100945,0.4118134
CDHR5,0.8094797050082383,0.5184942371815868,0.4966951343748305,0.47394875
CDK1,0.8432062080605642,0.5846768060541748,0.3805515054199431,0.43782008
CDKN2B,0.6915046433253518,0.3296257040387356,0.25420209765434265,0.40777156
CDKN3,0.8028620185657428,0.48744760967659434,0.18645996186468336,0.2924192
CDT1,0.8341115590644852,0.5455753580010957,0.2758937031030655,0.3615913
CDX1,0.8139146628110717,0.5360211906023121,0.6638496650589837,0.5963027
CDX2,0.8539573462270065,0.624363206662702,0.5845566375388039,0.5689049
CEACAM1,0.794043777035897,0.5000082807999511,0.5838957279920578,0.5102681
CEACAM5,0.8647116860959001,0.6786503317881706,2.3023094866010876,1.1925819
CEACAM6,0.8558912300284773,0.6877520725020608,1.6918203565809462,1.030338
CEACAM7,0.6978338712392002,0.28265661584045265,0.3664923186103503,0.36894968
CEBPB,0.7407470402692822,0.46630757803585454,0.5225717822710673,0.57986724
CEBPD,0.7048401387937084,0.4244387140713791,0.502009716298845,0.5588507
CEMIP,0.7741146014185332,0.4702780350856613,0.6035760409302182,0.5699439
CENPE,0.7923091510757069,0.46659425126660165,0.20047408218185106,0.2985879
CENPM,0.8251977085788865,0.5643659560746586,0.31561091873380875,0.41234514
CENPU,0.8157615358223054,0.5190095217269582,0.26718854904174805,0.3537675
CERCAM,0.7141151353253001,0.41922381916007395,0.42667321032947964,0.5286353
CERS6,0.856813215897544,0.6685258029612968,0.35091734760337406,0.468202
CFB,0.7949837351342837,0.5434865767142598,0.5530848486555947,0.5869992
CFTR,0.7728986419731526,0.4571427898696164,0.6823415574100282,0.59860826
CGN,0.886031176552345,0.7085289203622228,0.33161914348602295,0.43337932
CHDH,0.8507511078405713,0.6152508475290493,0.2752365486489402,0.38164282
CHEK1,0.8296766606641461,0.5496853545894534,0.259005058142874,0.36110377
CHI3L1,0.6414454255731429,0.24068020131518889,0.7096122478445371,0.63136876
